post_id,created_at,category,format,caption,hashtags_count,media_count,followers,reach,impressions,likes,comments,saves,shares,watch_3s_rate,watch_completion_rate,carousel_swipe_rate,profile_visits,views,engagement_proxy_count,engagement_proxy_rate,proxy_flags
DW4vxZHy4Jd,2026-04-08 22:00:00,education,reels,"There is a sweet spot between planning and procrastination. In this TED Talk, organizational psychologist @AdamGrant explains how original thinkers — like Dr. Martin Luther King Jr. and Steve Jobs — are quick to start but slow to finish, leaving themselves open to more possibilities while expanding their creativity. “Originals are not that different from the rest of us,” he says. Visit the link in @TED’s bio to watch the full talk.",0,1,8476300,31361.0,37633.2,2594,37,482,65,18.72,10.86,,,31361,2668.0,0.0315,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW50d2qFSCL,2026-04-09 08:00:32,fashion,carousel,Light work. Sabrina 4 coming in July.,0,3,297515324,104130363.4,124956436.08,47462,307,8666,1057,,,39.0,,0,48076.0,0.0162,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DW6IPCEDPPh,2026-04-09 11:01:39,fitness,reels,"The support behind every swing. From the first tee to the final putt, the people closest to us bring the motivation every step of the way.
 
The year’s first golf major begins now.
 
#YouGotThis",1,1,29622840,110568.0,132681.6,7170,165,1357,201,14.92,8.65,,,110568,7500.0,0.0253,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW6dnHpDoCd,2026-04-09 14:00:04,fashion,carousel,"8 Cities. 8 Stories.

Drawn from deep-rooted history, the MLB City Connect uniforms feature bold designs celebrating each clubs’ communities.

Available now at Nike.com.",0,10,297515324,104130363.4,124956436.08,96325,485,17532,2096,,,67.0,,0,97295.0,0.0327,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DW6lmpRNDYT,2026-04-09 15:11:03,food,reels,"omw!

🦄✨ Unicorn Frappuccino® Blended Beverage exclusively at @coachella April 10-12 and April 17-19",0,1,17769641,205339.0,246406.8,10679,388,2077,349,12.27,7.12,,,205339,11455.0,0.0645,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW6rOrpDlpB,2026-04-09 16:00:09,fashion,reels,"Same workhorse. New wings.

Saddle up with the power of full-length, curved Air Zoom in Pegasus 42. Full Horsepower.",0,1,297515324,902486.0,1082983.2,100178,1061,18456,2375,24.94,14.47,,,902486,102300.0,0.0344,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW7At2MgXsx,2026-04-09 19:09:03,business,reels,"First rule of entrepreneur wife husband club: be ready to drop whatever you’re doing in the moment and help...in the right way, not the wrong way. #ad #shopifypartner",2,1,2362280,47197.0,56636.4,2741,201,574,125,14.65,8.5,,,47197,3143.0,0.133,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW7BrtMCOtn,2026-04-09 19:16:10,travel,reels,"""Each statue has a different message themed to climate change and how we impact the planet – I loved seeing how each one connects to the bigger picture and message,"" says Lonely Planet's @acacia_gabriel, who snorkeled through @museomusamx, an underwater museum off the coast of Cancun with over 500 life-size sculptures that encourage coral growth, with @paditv and @pocnadivecenter. ""Travel can be such a powerful force for good when we support experiences that promote conservation and/or cultural exchange.""",0,1,3395153,23445.0,28134.0,839,27,162,26,8.38,4.86,,,23445,893.0,0.0263,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW7zdlok4oP,2026-04-10 02:31:07,travel,reels,"""What strikes me most is the deep sense of community, with people traveling from all corners of the country to spend a week with family, taking part in traditions passed down over generations,"" says Lonely Planet Correspondent @sheneller, who got the chance to experience Sinhalese and Tamil New Year celebrations, which usually fall on April 13-14 every year, in a rural Sri Lankan village about five hours from her home city of Colombo. ""The best part? This is a festival open to everyone,"" Shenelle says. ""So even as a traveler, you get to experience the traditions and culinary delights firsthand.""",0,1,3395153,97486.0,116983.2,8683,87,1598,204,19.99,11.59,,,97486,8857.0,0.2609,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW80MqpjqsG,2026-04-10 11:58:11,education,reels,"Why you should blast your abs.⁠
⁠
Host: @manoushz • Manoush Zomorodi/NPR⁠
Producer: @nickolaihammar • Nickolai Hammar/NPR #tedradiohour",1,1,8476300,253812.0,304574.4,23513,97,4271,504,20.55,11.92,,,253812,23707.0,0.2797,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW9I_vCieOM,2026-04-10 14:58:48,lifestyle,reels,"Who doesn’t love a side quest?

Pull over at @sabrinacarpenter’s Pit Stop, this weekend only in the desert. More info at link in bio.",0,1,6846220,797426.0,956911.2,54075,245,9832,1167,15.05,8.73,,,797426,54565.0,0.797,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW9UpXnEQnA,2026-04-10 16:42:41,business,reels,sorry to my back,0,1,2362280,34730.0,41676.0,534,100,136,46,8.0,4.64,,,34730,734.0,0.0311,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW9xmwhCZDd,2026-04-10 20:52:36,travel,carousel,"""Magical doesn’t come close to describing how fun it was to play in the snow, cozy up in the dark and watch wonder light up the sky all night long,"" says Lonely Planet's @sahzoo, who took a dream trip to see the northern lights in Fairbanks, Alaska last winter with @borealisbasecamp. But she wasn't alone: she went with her husband, plus tiny humans, ages 11 and 5, who loved every second. There was ice fishing, walking with reindeer and UTVing (and lots of unforgettable grins all around). Link in bio for her full itinerary 🔗",0,7,3395153,1188303.55,1425964.26,356,5,66,9,,,55.0,,0,366.0,0.0108,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWAoIOYDNZd,2026-03-18 02:56:55,fashion,single,The world brought their best. Team Venezuela brought home the title.,0,1,297515324,104130363.4,124956436.08,82083,1840,15511,2286,,,,10954,0,85763.0,0.0288,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,profile_visits_proxy"
DWHLcihDkun,2026-03-20 16:00:04,fashion,carousel,"The Nike Powerbeats Pro 2, featuring secure fit, Active Noise Cancelling, sweat and water resistance and Nike Run Club compatible heart monitoring to help athletes lock in.

Get yours now at apple.com, nike.com, and select Apple Stores in the United States, United Kingdom, China and Singapore.",0,4,297515324,104130363.4,124956436.08,67405,578,12364,1550,,,43.0,,0,68561.0,0.023,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWHyQOkjFP2,2026-03-20 21:39:10,fitness,carousel,"The boy’s a bit special 🥇

At 21, @dareal.6ix becomes world indoor champion – going No.4 on the all-time list with a world leading 6.41. 

#YouGotThis",1,3,29622840,10367994.0,12441592.8,29032,123,5275,624,,,40.5,,0,29278.0,0.0988,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWJbnXlAJnh,2026-03-21 13:18:25,fitness,reels,"Changing the future for athletes with disabilities, one step at a time. Tested and proven with adidas’ very own @ChrisNikic The Supernova Rise 3 Adaptive comes to life as our first performance shoe developed and designed for athletes with disabilities.
Now available globally.",0,1,29622840,339333.0,407199.6,48672,1007,9164,1326,32.86,19.06,,,339333,50686.0,0.1711,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWKLtSVD3zW,2026-03-21 20:00:04,fitness,carousel,"Stuck in traffic, but not mad. 
LA with our /// family at the FIFA World Cup™️ away kits launch.",0,19,29622840,10367994.0,12441592.8,117318,353,21258,2470,,,95.0,,0,118024.0,0.3984,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWKhrNODD7V,2026-03-21 23:12:02,fitness,carousel,"@tim_wenisch makes the world faster. Again. 

With his partner Alex, he smashes an incredible new hybrid fitness racing doubles world record – and becomes an undisputed EMEA regional champion.

#YouGotThis #adidasTraining #adizerodropsetelite",3,7,29622840,10367994.0,12441592.8,46229,228,8412,1004,,,59.5,,0,46685.0,0.1576,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWO-RKYDBjc,2026-03-23 16:38:50,fitness,carousel,"Madness on the floor, the future feel of movement on your feet.
Bespoke fit, support, cushioning and stiffness for the next generation of hoopers.",0,8,29622840,10367994.0,12441592.8,62025,464,11350,1403,,,59.0,,0,62953.0,0.2125,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWOlDGcCH1J,2026-03-23 13:00:29,fashion,reels,"Blockbuster Football

2026 National Team Collections are here.",0,1,297515324,1215339.0,1458406.8,159243,18027,35875,9494,35.35,20.5,,,1215339,195297.0,0.0656,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWRhVq-D70L,2026-03-24 16:24:12,travel,reels,"🌎 INTRODUCING: The Lonely Planet Correspondent Network 🌏

We built a global collective of passionate travelers to share on-the-ground insights, stories and firsthand perspectives across social media – aka real people doing real things in the real world.

These creators, hand-selected by our social team, represent over 20 destinations and areas of expertise. They lead with curiosity, empower others to explore the world on their own terms and share our longstanding commitment to respectful, responsible travel. Link in bio to learn more, but in the meantime…

Meet our 2026 founding class of Correspondents:
@angelaliggs
@biancainmelbourne
@brindasharma
@eatinbcn
@borghingordi
@gophari
@tripinargentina
@byjacklynn
@jesseogn
@journeybyjoe
@thekatieromero
@youngadventuress
@thejourneyofabravewoman
@liviemaher
@philoudarblay
@seanhammonds
@sheneller
@suzyandaustin
@thetravelingchild
@tonatiuhhigareda
@victorialoi
@zannavandijk",0,1,3395153,70007.0,84008.4,3669,319,788,185,13.53,7.85,,,70007,4307.0,0.1269,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWTsOr2iGoW,2026-03-25 12:37:25,fitness,carousel,"Mikaela Shiffrin takes the Overall Crystal Globe in Hafjell 🔮

110 World Cup wins, an Olympic slalom gold in Milano Cortina and a season that set the standard 🎿

Nine wins from ten in slalom, 980 points from a possible 1000 and a record ninth Slalom Globe.

She closes it in the final Giant Slalom, right where it had to be done.

#YouGotThis",1,5,29622840,10367994.0,12441592.8,24735,148,4512,546,,,48.5,,0,25031.0,0.0845,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWXRgUlhAYi,2026-03-26 22:00:00,lifestyle,reels,"You can walk down Sunset and hit 10 different coffee shops.
Here’s the one that feels like home.

@handlescoffee is a Silver Lake go-to with a loyal following and a menu people know by heart.

Order:
• Handles Coffee (iced)
• Handles Matcha
• Silver Lake Latte (orange mocha twist)

Local Favorites — Silver Lake

📍Handles Coffee
4459 Sunset Blvd, Los Angeles",0,1,6846220,29539.0,35446.8,609,123,159,55,8.0,4.64,,,29539,855.0,0.0125,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWY3_e7jncx,2026-03-27 17:00:03,lifestyle,reels,"Not just a bookstore.
A place where people meet, connect, and keep coming back.

A Los Feliz staple since 1996, @skylightbooks sits just below Griffith Park with a curated mix of fiction, art, film, and culture. Easy to pop into after dinner, harder to leave without a stack.

Don’t miss their free author events, happening most nights of the week.

Local Favorites — Los Feliz

📍Skylight Books
1818 N Vermont Ave, Los Angeles",0,1,6846220,33406.0,40087.2,1059,123,240,64,8.59,4.98,,,33406,1305.0,0.0191,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWZ0VQ0ksH9,2026-03-27 21:47:09,lifestyle,reels,"Start anywhere.

These are the spots locals keep coming back to in Silver Lake.

Save this.

Local Favorites — Silver Lake
Los Angeles, CA",0,1,6846220,12873.0,15447.6,475,157,148,64,13.48,7.82,,,12873,789.0,0.0115,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWZMp8iEVVb,2026-03-27 16:00:46,business,reels,tinkering in Tinker,0,1,2362280,14854.0,17824.8,368,76,97,34,8.0,4.64,,,14854,520.0,0.022,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWZNA0JkYcg,2026-03-27 16:00:05,fashion,carousel,"Get your popcorn ready. This summer will be pure cinema.

2026 National Team Collections, available now.",0,13,297515324,104130363.4,124956436.08,68439,1043,12736,1734,,,79.0,,0,70525.0,0.0237,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DW_crH2ADjh,2026-04-11 12:28:04,travel,carousel,"GUIDE TO BRITISH COLUMBIA, CANADA 🇨🇦 Massive mountains, wild forests and stunning coastlines: here, says Lonely Planet contributor Brendan Sainsbury, “there are innumerable places to witness this outdoor theater, plus plenty of towns and cities to recharge your energy afterwards.” Tap the link in bio for all things #BestInTravel, our top places to visit this year.",1,12,3395153,1188303.55,1425964.26,880,11,163,21,,,76.5,,0,902.0,0.0266,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWbx0iKhYEX,2026-03-28 16:00:00,lifestyle,reels,"📍 Nago, Japan
Where you can sleep in Japan’s “miracle forest”",0,1,6846220,20267.0,24320.4,1575,257,386,121,22.68,13.15,,,20267,2089.0,0.0305,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWdbqZ9l9pT,2026-03-29 07:25:04,fitness,carousel,first time was so nice he had to do it twice ⭐,0,4,29622840,10367994.0,12441592.8,123794,271,22391,2571,,,43.0,,0,124336.0,0.4197,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWg6cTSEQZV,2026-03-30 16:00:55,business,reels,the plot can wait,0,1,2362280,31001.0,37201.2,709,97,166,48,8.0,4.64,,,31001,903.0,0.0382,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWk4BnalBhi,2026-04-01 04:47:35,fitness,carousel,"Burger boy was cooking ♨️

Congrats @iamcalebholt, McDonald’s All American MVP 🏆",0,3,29622840,10367994.0,12441592.8,11790,233,2215,317,,,39.0,,0,12256.0,0.0414,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWmFXTpkbB_,2026-04-01 16:03:23,business,carousel,did somebody say new ways to work with AI?,0,7,2362280,826798.0,992157.6,539,107,140,48,,,55.0,,0,753.0,0.0319,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWnBe4zDc0y,2026-04-02 00:49:04,food,reels,"this is not a prank.
the Unicorn Frappuccino® Blended Beverage is BACK for a limited time at Coachella only. stay tuned for the drop schedule.",0,1,17769641,576487.0,691784.4,31205,1076,6047,1001,12.73,7.38,,,576487,33357.0,0.1877,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWohGINEYee,2026-04-02 14:54:48,lifestyle,reels,"Every trip has a stop you didn’t plan. Make it @sabrinacarpenter’s Pit Stop.

Book now at link in bio.",0,1,6846220,918434.0,1102120.8,180123,332,32555,3719,43.31,25.12,,,918434,180787.0,2.6407,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWtYT4YjVF3,2026-04-04 12:03:42,travel,carousel,"✈️ WHERE TO GO IN MAY ✈️ Your next trip, based on what you're craving: 

Water: Barbados or Belize
Cities: Thessaloniki, Greece
Outdoors: Newfoundland, Canada or North Sikkim, India
Slow travel: Uzbekistan or Norway
Food: Murcia, Spain or Bali, Indonesia
Wildlife: Chobe and the Okavango, Botswana",0,10,3395153,1188303.55,1425964.26,2199,21,404,51,,,67.0,,0,2241.0,0.066,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWtrV03CWc5,2026-04-04 14:50:27,lifestyle,reels,"📍 Saint-Adjutory, France
Five hours south of Paris where days are slow, the garden grows wild herbs, and this tiny home is all you need.",0,1,6846220,16135.0,19362.0,1031,89,221,52,16.48,9.56,,,16135,1209.0,0.0177,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWyTwopmU8y,2026-04-06 10:00:03,fitness,carousel,"Outfit inspo? We got you ✨
오늘 뭐 입지?
우리가 알려줄게 ✨",0,7,29622840,10367994.0,12441592.8,436097,1572,79126,9272,,,55.0,,0,439241.0,1.4828,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWyuwJqESEr,2026-04-06 14:01:02,business,reels,native B2B features are now available to way more merchants,0,1,2362280,14997.0,17996.4,518,68,120,34,9.59,5.56,,,14997,654.0,0.0277,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWzPZw6DNJ-,2026-04-06 18:47:07,lifestyle,reels,We went to the cottage on @airbnb let us show you around 😏 #airbnbpartner,1,1,6846220,440090.0,528108.0,58952,518,10819,1360,29.99,17.39,,,440090,59988.0,0.8762,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWzcwNJydrc,2026-04-06 20:39:22,food,reels,serving good energy tomorrow.,0,1,17769641,194880.0,233856.0,27114,570,5109,742,31.9,18.5,,,194880,28254.0,0.159,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXAOX62E4SX,2026-04-11 19:42:50,education,carousel,"You've likely seen handmade signs like these today, and chances are, they made your life just a little easier. In her TED Talk, designer Kate Canales shares how she’s been photographing improvised signage for 20 years — from perplexing bathroom directions to our struggles with doors — and why she sees them as evidence that we still need each other out in the world. “The person who came before us took the time to leave some instructions to make sure that our experience is a little bit better than theirs,” she says. “And that is a sign of humanity that I am always happy to stumble upon.” Visit the link in our bio to see more charming signs.",0,8,8476300,2966705.0,3560046.0,17891,58,3244,378,,,59.0,,0,18007.0,0.2124,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXAr99tiXKg,2026-04-12 00:21:31,lifestyle,reels,@sabrinacarpenter needed a place to dry off on her way out of the desert,0,1,6846220,297551.0,357061.2,49846,171,9041,1057,37.11,21.52,,,297551,50188.0,0.7331,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXAxHKkFuMj,2026-04-12 00:45:54,food,single,"@coachella woke me up daily, don’t need no starbucks",0,1,17769641,6219374.35,7463249.22,26469,255,4866,619,,,,3329,0,26979.0,0.1518,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,profile_visits_proxy"
DXBa652jEXd,2026-04-12 06:51:14,fitness,carousel,"@gout.goutt is no longer the future. He’s right now.

Aged 18, he blazes an incredible new 200m U20 world and Australian record in 19.67. 

#YouGotThis",1,2,29622840,10367994.0,12441592.8,49885,201,9060,1068,,,36.5,,0,50287.0,0.1698,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXCFIVFkpq6,2026-04-12 13:00:00,shop,carousel,The festival FOMO is real. Good thing Prime’s got you covered from last minute fit needs to ways to pretend you’re there 🎡 🤠 We’re streaming Stagecoach on @primevideo and we’ve got your playlists covered on @amazonmusic 🎶,0,2,6335142,2217299.7,2660759.64,284,61,76,27,,,35.0,,0,406.0,0.0064,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXCXZgDjwVj,2026-04-12 15:39:48,travel,carousel,"In Cartagena — the Colombian coast’s crown jewel — a special magic comes from the confluence of AfroCaribbean, indigenous and Spanish influences. Each is reflected in the music, art and food, including street fruit vendors (known as fruteros) like these ones.

📸: @juantapiasphoto",0,10,3395153,1188303.55,1425964.26,2263,45,425,61,,,67.0,,0,2353.0,0.0693,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXCucdGEUE_,2026-04-12 21:01:04,shop,reels,"Serving space, not taking it ✨ Set it up when you need it, fold it away when you don’t at the link in bio #AmazonFinds

🎥: @groundedinneutral",1,1,6335142,12780.0,15336.0,415,97,114,42,10.48,6.08,,,12780,609.0,0.0096,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXDHel6Ed9F,2026-04-12 22:54:50,fashion,reels,"No alterations needed. 

@rorymcilroy proves he is tailored for the moment, securing back-to-back jackets at Augusta.",0,1,297515324,3181894.0,3818272.8,74547,695,13696,1734,8.0,4.64,,,3181894,75937.0,0.0255,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXDcf4CljI2,2026-04-13 01:43:30,food,carousel,scenes from our coffeehouse @coachella,0,12,17769641,6219374.35,7463249.22,24329,242,4476,571,,,75.0,,0,24813.0,0.1396,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXEbTrSDJVQ,2026-04-13 10:52:20,fitness,carousel,"From Shanghai to the world, celebrating the next chapter of CLIMACOOL. The future of comfort engineered to breathe.",0,14,29622840,10367994.0,12441592.8,27626,232,5065,634,,,83.0,,0,28090.0,0.0948,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXEceFDk7TC,2026-04-13 13:01:29,shop,reels,"Summer mermaid hair starts at the roots + the link in bio 🧜‍♀️ #AmazonFinds

🎥: @glenxda",1,1,6335142,78800.0,94560.0,1099,266,304,115,8.0,4.64,,,78800,1631.0,0.0257,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXFATjnCZMr,2026-04-13 16:15:44,travel,carousel,"“If you love a good flower field, Iceland in summer should rank at the top of your list,” says Lonely Planet contributor Bailey Freeman (@the_traveling_b). “The island country takes on a blanket of purple blooms that contrast strikingly with the black volcanic soil and soft green moss that are characteristic of its environment.” Get more botanical recommendations from our expert travelers at the link in bio 🔗",0,7,3395153,1188303.55,1425964.26,1091,4,198,23,,,55.0,,0,1099.0,0.0324,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXFDqs-EVZC,2026-04-13 16:48:28,lifestyle,reels,We asked around at Sabrina’s Pit Stop… turns out everyone has strong opinions about suitcases on the bed.,0,1,6846220,74793.0,89751.6,6746,97,1253,169,20.41,11.84,,,74793,6940.0,0.1014,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXFYulTE41M,2026-04-13 19:49:14,education,single,"Can individual actions actually make a difference in the fight against climate change? According to behavioral scientist Jiaying Zhao, not only are they important for pushing towards structural changes, but they can make you feel happier, too. In her TED Talk, she introduces ""happy climate hacks"" — small, easy shifts like rethinking how you store veggies or carpooling to work — as a way for you take make changes at home that feel sustainable and have a real impact. Visit the link in @TED’s bio to watch her full talk.",0,1,8476300,2966705.0,3560046.0,890,13,165,22,,,,115,0,916.0,0.0108,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,profile_visits_proxy"
